Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Gdańsk Stare Miasto 41 m2 Ogarna,"Gdańsk Śródmieście, Ogarna",41.54,2,2,1967,499 535 zł
Widok na Motławę z apartamentu w Deo Plazie,"Gdańsk Śródmieście, Chmielna",56.18,2,1,2020,1 685 400 zł
Apartament w Deo Plazie w Gdańsku Wyspa Spichrzów,"Gdańsk Śródmieście, Chmielna",45.61,2,3,2020,1 185 860 zł
Mieszkanie z dużym tarasem i widokiem/MORZE/HEL,"Gdańsk Brzeźno, Gen. Józefa Hallera",35.39,2,5,2019,459 000 zł
Super cena. 3 - pokojowe. Niska zabudowa. Tramwaj.,"Gdańsk Morena, Powstania Listopadowego",59.2,3,2,1980,439 000 zł
Nowa oferta. Mieszkanie 3 pokojowe + Garaż. Jasień,"Gdańsk Rębowo, Kazimierza Leskiego",62.3,3,1,2017,529 000 zł
Starówka. 3 pokoje. Parter. Ogarna. Parking.,"Gdańsk Śródmieście, Ogarna",62,3,parter,1953,739 900 zł
Nowe Mieszkanie 2 - pokojowe z Windą i balkonem,"Gdańsk Łostowice, Niepołomicka",33,2,3,2019,289 000 zł
3 -pokojowe. I piętro. Balkon. Niski blok. Tramwaj,"Gdańsk Morena, Związku Jaszczurczego",62.2,3,1,1985,489 000 zł
Nowa oferta. 2 pokoje z ogrodem. Gardenia. Ekolan,"Gdańsk Jasień, Stolema",46,2,parter,2015,479 900 zł
Piękne 2-poziomowe mieszkanie 3-pok z 2003r.,"Gdańsk Karczemki, Storczykowa",97,3,3,2003,485 000 zł
Apartament nad Motławą - Symfonia Residence,"Gdańsk Śródmieście, Targ Rybny",76.02,3,1,2009,1 499 900 zł
Atrakcyjne 4 pok. z osobną kuchnią - Stare Miasto,"Gdańsk Śródmieście, Szeroka",55.31,4,3,1956,749 900 zł
Tylko u Nas ! Kawalerka z dużym balkonem - Ekolan,"Gdańsk Św. Wojciech, Starogardzka",33.7,1,3,2010,249 900 zł
Tylko u Nas ! 2 pok. w świetnej cenie - Przeróbka,"Gdańsk Przeróbka, Bajki",36.15,2,4,1980,275 000 zł
Morena / 11 Piętro / 4 Pokoje / 65m2 / Loggie,"Gdańsk Morena, Heleny Marusarzówny",64,4,11,1985,550 000 zł
Gdańsk przymorze/ 5min do plaży/ pod lasem,"Gdańsk Żabianka, Tysiąclecia",40.28,2,3,0,430 000 zł
Zadbane (70m/3 pokoje) w sercu Gdańska,"Gdańsk Dolne Miasto, Zielona",70,3,parter,1901,664 900 zł
4 pokoje / Morena / dwa balkony z widokiem,"Gdańsk Morena, Józefa Żylewicza",64,4,3,1978,575 000 zł
