Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Jasień/ 3 pokoje/ ogródek/ duży salon,"Gdańsk Jasień, Leszczynowa",70.15,3,parter,2014,561 000 zł
Klimatyczne 3 Pokoje Gdańsk Śródmieście,"Gdańsk Biskupia Górka, Biskupia",68.3,3,3,1900,445 000 zł
Najlepszy adres w mieście!,"Gdańsk Śródmieście, Chmielna",41.19,2,6,2019,774 372 zł
Morena/3 pokoje/ Osiedle Klimaty/Osiedle Roku 2012,"Gdańsk Morena, Myśliwskie Wzgórze 15",63,3,3,2012,579 000 zł
Wygodne mieszkanie dla rodziny lub pod wynajem!,"Gdańsk Morena, Piecewska",49,2,1,1982,439 000 zł
Mieszkanie - Gdańsk Zaspa,"Gdańsk Zaspa, Skarżyńskiego",65,3,3,0,580 585 zł
"Śródmieście, mieszkanie 3-pokojowe w kamienicy. Blisko Młodego Miasta!","Gdańsk Śródmieście, Lisia Grobla",57,3,3,1918,515 000 zł
Sprzedam słoneczne mieszkanie w ładnej okolicy,"Gdańsk Orunia Górna, olimpijska 42",49.03,2,1,2011,399 000 zł
"Gotowiec inwestycyjny, Wyspa Spichrzów","Gdańsk Stare Przedmieście, Jaglana",40,2,1,2017,630 000 zł
53m2 z ogródkiem nad Jeziorem Jasień,"Gdańsk Jasień, Życzliwa",53,2,parter,2011,519 000 zł
"Apartament 87,56m2 Gdańsk Śródmieście - Taras 77m2","Gdańsk Długie Ogrody, Długa Grobla",87,4,5,2018,1 230 000 zł
Apartament z 22 m2 tarasem- niesamowity widok!,"Gdańsk Długie Ogrody, Św. Barbary",67,3,6,2021,899 000 zł
"Apartament z klasą, idealny na inwestycję","Gdańsk Śródmieście, Panieńska",31.08,1,parter,2018,519 000 zł
Mieszkanie Gdańsk Przymorze  32 m2,Gdańsk Przymorze,32,1,13,2020,499 000 zł
3 pokojowe mieszkanie idealne pod inwestycję.,"Gdańsk Górki Zachodnie, Jodłowa",56,3,1,1930,450 000 zł
"Wyjątkowe I 5 pokoi, 100m2 I Balkon I Dwupoziomowe","Gdańsk Łostowice, Jana Kielasa",100,5,3,2011,599 000 zł
2 pokojowe mieszkanie do własnej aranżacji Gdańsk,"Gdańsk Stogi, Tamka",42,2,4,1972,330 000 zł
Słoneczna kawalerka w idealnej lokalizacji!,"Gdańsk Zaspa, Stanisława Skarżyńskiego",30,1,5,2007,360 000 zł
Słoneczne 2 pokoje Wrzeszcz Dolny,"Gdańsk Wrzeszcz, Sochaczewska",49,2,1,1970,485 000 zł
2 pokojowe mieszkanie w bliskiej odległości do morza.,"Gdańsk Przeróbka, Bajki",42,2,3,1978,345 000 zł
Przestronne 3 pokojowe blisko komunikacji,"Gdańsk Przymorze, Szczecińska",68.23,3,parter,2016,885 000 zł
Mieszkanie Gdańsk Przymorze  45 m2,Gdańsk Przymorze,45,2,1,2015,499 000 zł
Mieszkanie 63m2  5 pokoi,"Gdańsk Morena, Warneńska",63,5,4,1980,449 000 zł
3 pokojowe mieszkanie do remontu na Przymorzu,"Gdańsk Przymorze, Śląska",50,3,6,1970,399 000 zł
Możliwość 4 pokoi w Oliwie !,"Gdańsk Oliwa, Grunwaldzka",78.84,2,1,1902,650 000 zł
Mieszkanie Gdańsk   92.4 m2,Gdańsk,92.4,4,1,2019,1 249 000 zł
Ekskluzywny apartament w Mila Baltica!,"Gdańsk Zaspa, Bolesława Chrobrego",66.68,3,3,2017,1 095 000 zł
Słoneczny Apartament | Riverview,"Gdańsk Długie Ogrody, Angielska Grobla",28.7,1,3,2020,495 000 zł
Słoneczny Apartament 3-pokoje Gdańsk Morena 72m2,"Gdańsk Morena, Piecewska",72,3,12,2012,849 000 zł
Słoneczne 3 pokoje Brzeźno,"Gdańsk Przymorze, Kołobrzeska",59,3,7,1980,575 000 zł
Morena/2 pokoje/wysoki standard/parking,"Gdańsk Morena, Morenowe Wzgórze",48.02,2,2,2019,530 000 zł
Bezposrednio - mieszkanie 2-poziomowe Bretowska Brama,"Gdańsk Strzyża, Słowackiego 69",168,11,9,2000,2 100 000 zł
Kawalerka w świetnej lokalizacji.,"Gdańsk Zaspa, Stanisława Skarżyńskiego",34.1,1,5,2007,360 000 zł
Deo plaza - luksus & widok,"Gdańsk Śródmieście, Chmielna",74.21,2,4,2019,2 300 510 zł
Deo plaza - prestiż & widok,"Gdańsk Śródmieście, Chmielna",103.42,3,4,2019,3 309 440 zł
Okazja! Mieszkanie 2 pokojowe - Gdańsk Jasień.,"Gdańsk Jasień, Stolema",49.8,2,parter,1998,435 000 zł
"Sprzedam mieszkanie 2 pokojowe 47,3 m2","Gdańsk Nowy Port, Oliwska 81",47,2,3,1957,363 000 zł
Fajne mieszkanie na zaspie,"Gdańsk Zaspa, Dywizjonu 303",62.4,3,1,1970,570 000 zł
Apartament blisko morza 32m2,"Gdańsk Brzeźno, Hallera",32,1,3,2020,445 000 zł
Mieszkanie 3 pokojowe plus garaż,"Gdańsk  Wrzeszcz, Aldony",98,3,1,1900,849 000 zł
Gdańsk Wrzeszcz 3 pokoje,"Gdańsk  Wrzeszcz, Aldony",98,3,1,1900,849 000 zł
Gdańsk Przymorze - słoneczne studio,"Gdańsk Przymorze, Śląska",23,1,7,0,279 000 zł
Mieszkanie Gdańsk Łostowice Brylantowa 79 m2,"Gdańsk Łostowice, Brylantowa",79,4,1,0,539 000 zł
Nowe mieszkanie z ogródkiem,"Gdańsk Letnica, Starowiejska",80,4,parter,2019,795 000 zł
3 pok w Jelitkowie Nowe Budownictwo Hala Garaż !,Gdańsk Jelitkowo,70,3,3,2005,949 000 zł
"Nowa cena 3 pokojowe z balkonem, Żabianka","Gdańsk Żabianka, Szyprów",54,3,2,1972,510 000 zł
Piękne mieszkanie- blisko morza !,"Gdańsk Przymorze, Jelitkowski Dwór",54,3,3,2005,849 000 zł
Gdańsk Zaspa 3 pokoje,"Gdańsk Zaspa, Stanisława Skarżyńskiego",65,3,4,1991,579 000 zł
Gdańsk Zaspa 2 niezależne pokoje!,"Gdańsk Zaspa, Jana Pawła Ii",47,2,1,0,529 000 zł
Apartament w otoczeniu morza,"Gdańsk Wrzeszcz, Grudziądzka",62.79,3,6,2019,799 000 zł
Wyjątkowa nieruchomość w doskonałym miejscu!,"Gdańsk Siedlce, Lecha Bądkowskiego",49,2,4,1991,420 000 zł
Luksusowe 3 pokojowe mieszkanie na pięknym osiedlu.,"Gdańsk Przymorze, Jelitkowski Dwór",52.4,3,3,2003,849 000 zł
"Mieszkanie dwupoziomowe, 4 pokoje, Ujeścisko","Gdańsk Ujeścisko, Częstochowska",93.8,4,3,1999,609 000 zł
Elegancki apartament we Wrzeszczu,"Gdańsk Wrzeszcz, Joachima Lelewela",72,3,2,2018,1 025 000 zł
"Dwupoziomowy apartament, elegacki styl - centrum",Gdańsk Siedlce,147.8,6,4,1997,1 199 000 zł
Przytulne mieszkanie z potencjałem tuż obok Uniwersytetu Gdańskiego,"Gdańsk Oliwa, Wita Stwosza",33.8,2,3,1969,355 000 zł
Zamieszkaj nad morzem 3 pokoje w mila baltica!,"Gdańsk Zaspa, Bolesława Chrobrego",66.68,3,3,2017,1 095 000 zł
Idealna inwestycja 240m od ulicy Długiej!,"Gdańsk Stare Przedmieście, Rzeźnicka",49,2,2,1960,499 000 zł
Dwa pokoje Gdańsk,"Gdańsk Orunia, Granitowa",37,2,2,0,269 000 zł
Słoneczne i wyremontowane mieszkanie na Przymorzu,"Gdańsk Przymorze, Śląska",60,3,4,1968,555 000 zł
"Do zamieszkania-Zajezdnia Wrzeszcz, 3 pokoje, Gdańsk, Grudziądzka","Gdańsk Wrzeszcz, Grudziądzka",60.9,3,6,2019,749 000 zł
2 niezależne pok. na Przymorzu. Gotowiec,"Gdańsk Przymorze, Chłopska",38,2,2,0,419 000 zł
"Apartament 33,3m2 | Riverview","Gdańsk Długie Ogrody, Angielska Grobla",33.3,1,1,2020,495 000 zł
Mieszkanie - Gdańsk Przymorze,Gdańsk Przymorze,51.3,3,11,2017,720 000 zł
Na Sprzedaż Piękne mieszkanie w Osowej z dodatkami,"Gdańsk Osowa, Międzygwiezdna",59,2,2,2009,499 900 zł
Mieszkanie - Gdańsk Oliwa,"Gdańsk Oliwa, Opacka",61.4,3,2,0,1 329 000 zł
Os. Gardenia/ 3 pokoje/ umeblowane/ blisko tramwaj,"Gdańsk Jasień, Kartuska",56.4,3,2,2011,510 000 zł
"Gdańsk Chełm 3 pok, 63,5m2, 2 piętro!!!","Gdańsk Chełm, Zamiejska",63.5,3,2,1992,489 000 zł
2 poziomy/ umeblowane/ przy alei havla,"Gdańsk Ujeścisko, Przemyska",54,2,4,2001,499 000 zł
Rezerwacja apartament nad morzem - Neptun Park,"Gdańsk Jelitkowo, Wypoczynkowa",78.5,3,3,2009,1 530 750 zł
"2 pokoje z balkonem, parter kiełpinek gdańsk","Gdańsk Kiełpinek, Sympatyczna",48.88,2,parter,2003,419 000 zł
Gotowiec w nowym porcie,"Gdańsk Nowy Port, Na Zaspę",43.57,2,parter,0,365 000 zł
Mieszkanie Gdańsk 60m2,"Gdańsk Wrzeszcz, Bolesława Chrobrego",60,2,1,1965,498 000 zł
120M2 na łostowicach! gotowe do wprowadzenia!,"Gdańsk Łostowice, Jana Kielasa",120,5,3,2011,599 000 zł
Penthouse w Śródmieściu z tarasem 77 m2,Gdańsk Śródmieście,87.56,4,5,2018,1 230 000 zł
Komfortowe mieszkanie na Jasieniu,"Gdańsk Szadółki, Lawendowe Wzgórze",39,2,1,2015,390 000 zł
3 pokojowe mieszkanie w rozchwytywanej lokalizacji,"Gdańsk Przymorze, Śląska",50,3,4,1964,449 000 zł
Gdańsk Stare Miasto - komfortowy apartament,"Gdańsk Śródmieście, Złotników",32,2,3,0,499 000 zł
Słoneczne mieszkanie- 3 oddzielne pokoje,"Gdańsk Długie Ogrody, Św. Barbary",57.54,3,6,2021,695 000 zł
Kawalerka w Oliwie,"Gdansk Oliwa, Józefa Czyżewskiego 26",27,1,parter,1907,279 000 zł
2pokoje z halą w cenie/ winda/ 58m2,"Gdańsk Osowa, Międzygwiezdna",58,2,2,2009,500 000 zł
NIETUZINKOWA KAWALERKA W SAMYM SERCU OLIWY!!,"Gdańsk Oliwa, Polanki",31.55,1,1,1980,350 000 zł
"Dwa niezależne apartamenty inwestycyjne, 14% ROI.","Gdańsk Stare Przedmieście, Toruńska",65,3,1,2014,849 000 zł
Stylowe mieszkanie na Osowej,Gdańsk Osowa,58.6,2,2,0,500 000 zł
Perełka inwestycyjna Gdańsk Śródmieście,Gdańsk Śródmieście,28.8,1,parter,0,269 000 zł
Żabianka. Mieszkanie w świetnej lokalizacji,"Gdańsk Żabianka, Szyprów",54,3,2,0,495 000 zł
Nad morzem piękny 4 pokojowy narożny apartament,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",68,4,1,2019,800 400 zł
Nietuzinkowe mieszkanie po generalnym remoncie,"Gdańsk Nowy Port, Ks. Mariana Góreckiego",86.97,3,1,1930,559 000 zł
"Dwu pokojowe Mieszkanie, na Siedlcach","Gdańsk Siedlce, Lecha Bądkowskiego",49,2,4,1981,420 000 zł
INPRO/ 2 pokoje/ duża komórka i ogródek,"Gdańsk Szadółki, Morelowa",39.2,2,parter,2011,349 000 zł
2 pokoje/ garnizon/ wysoki standard/ ogródek,"Gdańsk Wrzeszcz, Bolesława Leśmiana",48,2,parter,2019,681 000 zł
4-pokojowe mieszkanie z widokiem na Motławę!!,"Gdańsk Śródmieście, Powroźnicza",86.6,4,1,1955,1 240 000 zł
Inwestycja 82 m2 podzielone na 2 mieszkania Dekpol,Gdańsk Morena,81.09,4,parter,2019,799 900 zł
Dwupokojowe w ścisłym centrum Śródmieścia,"Gdańsk Śródmieście, Jana Heweliusza",48,2,2,1950,576 000 zł
"Przytulne ,ładne i bardzo ustawne mieszkanie","Gdańsk Osowa, Wodnika",62,3,2,1992,444 000 zł
"3-pokojowe mieszkanie w pasie nadmorskim, Brzeźno","Gdańsk Brzeźno, Dworska",54.2,3,parter,0,405 000 zł
"Mieszkanie 3 pokoje, Gdańsk Orunia Górna","Gdańsk Orunia Górna, 3 Brygady Szczerbca",65.4,3,parter,1996,470 000 zł
2 pok po remoncie ZASPA,"Gdańsk Zaspa, Dywizjonu 303",49,2,7,1975,440 000 zł
Gdańsk Przymorze 38m2 - 2 pokoje!,"Gdańsk Przymorze, Kołobrzeska",38,2,6,1978,320 000 zł
2pokoje Przymorze. Potencjał inwestycyjny,"Gdańsk Przymorze, Obrońców Wybrzeża",46.3,2,5,0,399 000 zł
2pokoje Przymorze. Potencjał inwestycyjny,"Gdańsk Przymorze, Obrońców Wybrzeża",46.3,2,5,0,399 000 zł
"Centrum Gdańska 4 pokoje 97,27 m2 z balkonem","Gdańsk Długie Ogrody, Mariana Seredyńskiego",97.27,4,2,1912,820 000 zł
2-pokojowe mieszkanie z ogródkiem garizon,"Gdańsk Wrzeszcz, Bolesława Leśmiana",47.81,2,parter,2020,696 000 zł
Mieszkanie Gdańsk 52m2,"Gdańsk Suchanino, Noskowskiego",52,2,7,2008,545 000 zł
Mieszkanie 3-pok. Gdańsk Oliwa - perełka!,"Gdańsk Oliwa, Pomorska",92.22,3,2,1906,620 000 zł
Apartament w najbardziej pożądanej lokalizacji!,Gdańsk Zaspa,76.37,4,3,2014,939 000 zł
Zamieszkaj w kamienicy nieopodal Starego Miasta,"Gdańsk Stare Przedmieście, Kotwiczników",73.5,4,1,1903,619 000 zł
Gdańsk Zaspa Po Remoncie 2 pokoje,Gdańsk Zaspa,31,2,4,1970,330 000 zł
2 niezależne pokoje / śródmieście,"Gdańsk Długie Ogrody, Długie Ogrody",40.6,2,5,1970,415 000 zł
Zamieszkaj w samym sercu Gdańska!,"Gdańsk Długie Ogrody, Jana Dziewanowskiego",90,3,2,1931,749 000 zł
Zamieszkaj z rodziną nieopodal plaży,"Gdańsk Zaspa, Jana Pawła Ii",75.2,4,2,1993,699 000 zł
2 pokojowe mieszkanie w Gdańsku Zaspa blisko plaży,"Gdańsk Zaspa, Jana Pawła Ii",55.4,2,1,1996,536 000 zł
Centrum Gdańsk Wrzeszcza - 2 pokoje!,"Gdańsk Wrzeszcz, Stanisława Wyspiańskiego",33.7,2,parter,1955,379 000 zł
Luksusowy apartament | blisko morza,"Gdańsk Brzeźno, Gen. Józefa Hallera",65.06,3,1,2019,780 720 zł
Jasień ul. Jasińskiego 1/2 pokoje + ogródek Prowizja 0%,"Gdańsk Jasień, Jasińskiego 63",38.2,2,parter,2020,289 000 zł
31 metrowa kawalerka w cichej i spokojnej okolicy,"Gdańsk Żabianka, Sztormowa",31,1,8,1975,365 000 zł
Klimatyczne mieszkanie w zabytkowej kamienicy,"Gdańsk Biskupia Górka, Biskupia",45,3,parter,1905,599 000 zł
Luksusowy apartament | świetna lokalizacja,"Gdańsk Brzeźno, Gen. Józefa Hallera",57.96,3,1,2019,695 520 zł
"Mieszkanie 3 pokoje, Orunia Górna","Gdańsk Orunia Górna, Uranowa",63.1,3,2,1990,385 000 zł
Mieszkanie na Przymorzu - blisko morza,"Gdańsk Przymorze, Chłopska",30,1,1,1970,289 000 zł
2 pokoje/ ZASPA/ balkon/ piękny widok,"Gdańsk Zaspa, Dywizjonu 303",48.9,2,7,1980,440 000 zł
Elegancki apartament z ogródkiem,"Gdańsk Letnica, Sucha",33.65,2,1,2020,550 000 zł
Kawalerka Gdańsk Zaspa-Osiedle zamknięte,"Gdańsk Zaspa, Stanisława Skarżyńskiego",31,1,5,2007,360 000 zł
Jasień/ możliwość zrobienia dwóch pokoi,"Gdańsk Szadółki, Lawendowe Wzgórze",31,1,3,2019,310 000 zł
"2 pokoje, nowe mieszkanie, atrakcyjna cena","Gdańsk Łostowice, Niepołomicka",46.22,2,3,2019,385 000 zł
Kawalerka / riverview / wysoki standard,"Gdańsk Długie Ogrody, Angielska Grobla",33.3,1,3,2019,495 000 zł
"Kawalerka, Gdańsk Ujeścisko","Gdańsk Ujeścisko, Częstochowska",32,1,1,2009,284 000 zł
Kawalerka Gdańsk Wrzeszcz,"GDAŃSK Wrzeszcz, Mickiewicza",25,1,4,1970,278 900 zł
"Mieszkanie, 2 pokoje, Gdańsk Przymorze","Gdańsk Przymorze, Lęborska",44.5,2,2,1077,429 000 zł
IDEALNE MIESZKANIE DLA STUDENTA!,"Gdańsk Wrzeszcz, Pl. Józefa Wybickiego",34,2,1,0,399 000 zł
Przestronny apartament w centrum Gdańska,"Gdańsk Stare Przedmieście, Lastadia",54,2,parter,0,690 000 zł
Gdańsk Śródmieście Toruńska,"Gdańsk Śródmieście, Toruńska",48.29,2,5,2020,726 494 zł
Komfortowy Apartament Rezydencja Marina Jelitkowo,"Gdańsk Przymorze, Czarny Dwór",85,3,1,2011,1 350 000 zł
"Komfortowe, dwupokojowe - Gdańsk","Gdańsk Zakoniczyn, Konrada Guderskiego",50,2,3,2012,469 000 zł
"Świetne warunki dla rodziny, 120m2 w Gdańsku",Gdańsk Łostowice,86.22,5,3,2011,599 000 zł
Mieszkanie z ogrodem 340m2,"Gdańsk Morena, Myśliwska",88,4,parter,2009,950 000 zł
3 pokoje z tarasem i widokiem na zieleń i jezioro!,"Gdańsk Jasień, Życzliwa",63.2,3,1,2011,544 000 zł
Mieszkanie - Gdańsk Morena,"Gdańsk Morena, Warneńska",48.9,2,1,1980,418 000 zł
Dwu pokojowe mieszkanie idealne na Wynajem,"Gdańsk Przymorze, Jagiellońska",38,2,4,1970,399 000 zł
Mieszkanie dla rodziny lub inwestycyjnie.,"Gdańsk Śródmieście, Brygidki",83,3,3,1960,669 000 zł
Okazja!Riverview-mieszkanie gotowe do wprowadzenia,"Gdańsk Długie Ogrody, Angielska Grobla",33.3,1,3,2019,495 000 zł
2 pokoje/ ujeścisko/ osobna kuchnia/ OGRÓD 54m2,"Gdańsk Ujeścisko, Przemyska",53.25,2,parter,2012,450 000 zł
Słoneczne mieszkanie z ogródkiem 30 m2,"Gdańsk Morena, Myśliwska",39.82,2,parter,2010,435 000 zł
2 pokoje z pięknym widokiem,"Gdańsk Przymorze, Obrońców Wybrzeża",38,2,10,1978,369 000 zł
Ekskluzywne 2 pokoje na Toruńskiej na sprzedaż,"Gdańsk Stare Przedmieście, Toruńska",61,2,6,2016,820 000 zł
"Mieszkanie 3 pokojowe 59,60m2 parter  2 balkony OTBS - partycypacja !","Gdańsk Rębowo, Czermińskiego",59.6,3,parter,0,140 000 zł
3 pokoje/ zakoniczyn/ szybkie wydanie,"Gdańsk Zakoniczyn, Kazimierza Porębskiego",49.55,3,parter,2004,370 000 zł
Śródmieście kawalerka- inwestycja old nova,"Gdańsk Śródmieście, Panieńska",31.08,1,parter,2018,519 000 zł
"Mieszkanie - Gdańsk Wrzeszcz Górny, 649 000 zł","Gdańsk Wrzeszcz, Ludwika Waryńskiego",81.37,3,3,1920,649 000 zł
Mieszkanie - Gdańsk Chełm,"Gdańsk Ujeścisko, Nieborowska",27.1,1,parter,2006,249 000 zł
"Okazja - mieszkanie 35,44 Gdańsk Stogi NOWA CENA",Gdańsk Stogi,35.44,1,parter,1997,279 000 zł
3 pok. we Wrzeszczu z ogródkiem kameralne osiedle!,"Gdańsk Wrzeszcz, Bolesława Chrobrego",68.1,3,parter,2013,749 000 zł
Mieszkanie Gdańsk Śródmieście - 5 minut od Starówki,"Gdańsk Śródmieście, Seredyńskiego",98,4,2,1905,699 000 zł
"Mieszkanie z ogródkiem, po remoncie kuchni i łazienki","Gdańsk Stogi, Ugory",60.3,3,parter,1966,400 000 zł
"Piękne mieszkanie, 3 pok. balkon, centrum Gdańska!","Gdańsk Śródmieście, Kartuska",65.12,3,2,1960,689 000 zł
3 pokoje we Wrzeszczu,"Gdańsk Wrzeszcz, Gen. Józefa Fiszera",93.57,3,1,1924,780 000 zł
Taniej ! Super Inwestycja ROI 8% - blisko Starówki,"Gdańsk Siedlce, Szara",56.12,5,6,1984,448 000 zł
Osiedle 2012 ROKU/ 3 pokoje/ osiedle KLIMATY,"Gdańsk Morena, Myśliwskie Wzgórze",63,3,3,2012,579 000 zł
Gdańsk Wrzeszcz Wrzeszcz,"Gdańsk Wrzeszcz, Wrzeszcz",50,2,parter,2020,710 500 zł
Stan idealny - widok na motławę,"Gdańsk Stare Przedmieście, Toruńska",60,3,2,2009,839 900 zł
Gdańsk Jelitkowo. 3 pokoje 10 min plaża,Gdańsk Jelitkowo,48,3,1,1970,460 000 zł
Rewelacyjne 5 pokojowe mieszkanie w centrum moreny,"Gdańsk Morena, Warneńska",63,5,4,1980,469 000 zł
"Nowe, 2 pok mieszkanie w zielonej dzielnicy Jasień","Gdańsk Szadółki, Lawendowe Wzgórze",40.95,2,4,2020,350 000 zł
Gdańsk Oliwa Obrońców Westerplatte,"Gdańsk Oliwa, Obrońców Westerplatte",63.5,3,3,1901,569 000 zł
"Gdańsk, Śródmieście, Świetna inwestycja","Gdańsk Długie Ogrody, Długie Ogrody",40.6,2,5,0,435 000 zł
Słoneczne mieszkanie na Brzeźnie,"Gdańsk Brzeźno, Gen. Józefa Hallera",35.3,2,4,0,379 000 zł
Spacerem po starówce Gdańska,Gdańsk Śródmieście,52,2,1,1962,572 000 zł
Penthouse dla konesera,"Gdańsk Stare Przedmieście, Kotwiczników",140,3,5,2019,1 560 000 zł
Gustowna kawalerka na śródmieściu,"Gdańsk Śródmieście, Panieńska",31.08,1,parter,2018,519 000 zł
2 niezależne pokoje / gdańsk śródmieście,"Gdańsk Długie Ogrody, Długie Ogrody",40.6,2,5,1970,420 000 zł
Duże mieszkanie z ogródkiem i 2 m.parkingowymi,"Gdańsk Morena, Myśliwskie Wzgórze",89.3,4,parter,2012,960 000 zł
"Mieszkanie na Starówce, 2 pokoje","Gdańsk Śródmieście, Ogarna",63.74,2,1,1950,787 900 zł
2 pokoje Jasień ! Miejsce parkingowe!,Gdańsk Jasień,39.6,2,1,2015,410 000 zł
Komfortowy apartament - Zajezdnia Wrzeszcz,"Gdańsk Wrzeszcz, Grudziądzka",75.54,3,2,2018,1 100 000 zł
Wrzeszcz 3 pokoje 63m2,"Gdańsk Wrzeszcz, Partyzantów",62.84,3,2,1965,535 000 zł
"Atrakcyjne z ogrodem, 3 pokoje, Gdańsk-Przymorze, bez prowizji","Gdańsk Przymorze, Beniowskiego",68.21,3,parter,2017,860 000 zł
Os. garnizon/ 2 pokoje/ styl skandynawski,"Gdańsk Wrzeszcz, Cypriana Kamila Norwida",50.66,2,3,2017,700 000 zł
"Dwupokojowe ustawne Gd. Morena, duża loggia!","Gdańsk Morena, Związku Jaszczurczego",49,2,1,1987,429 000 zł
Mieszkanie Gdańsk 45m2,"Gdańsk Wrzeszcz, Zbyszka Z Bogdańca",45,2,2,1950,410 000 zł
Mieszkanie - Gdańsk Orunia,"Gdańsk Orunia, Trakt Św. Wojciecha",40.5,2,parter,1925,276 000 zł
"3 pokoje z balkonem i miejscem w hali, przymorze","Gdańsk Przymorze, Gen. Bora-Komorowskiego",69.48,3,3,2007,835 000 zł
Mieszkanie na sprzedaż z widokiem na Wisłę,"Gdańsk Sobieszewo, Świbnieńska",71,3,1,0,290 000 zł
2 Pokoje / Balkon / 2019 rok budowy,"Gdańsk Szadółki, Lawendowe Wzgórze",38.97,2,5,2019,399 000 zł
Atrakcyjne mieszkanie-w trakcie remontu,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",65.59,4,1,1960,539 000 zł
"200 m ogrodu, PKM, na biuro, blisko obwodnicy,","Gdańsk Niedźwiednik, Juliusza Słowackiego",58.56,2,1,1945,389 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Aniołki, Gen. Józefa Hallera",114,5,parter,1950,1 150 000 zł
Słoneczne mieszkanie na Zaspie,"Gdańsk Zaspa, Pilotów",42.4,2,8,1974,408 000 zł
"Mieszkanie 2 pokoje, Gdańsk Śródmieście, widok na Starówkę","Gdańsk Śródmieście, Głęboka",51.2,2,8,1961,450 000 zł
"Gdańsk Wrzeszcz ,lokalizacja ma znaczenie!","Gdańsk Wrzeszcz, Gen. De Gaulle'a",58.8,3,1,1905,485 000 zł
Mieszkanie z pieknym widokiem,"Gdańsk Suchanino, Taborowa",84.6,3,3,2012,1 100 000 zł
Mieszkanie - Gdańsk Jelitkowo,"Gdańsk Jelitkowo, Wypoczynkowa",60,2,3,2012,1 250 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Jelitkowski Dwór",84.5,3,2,2001,1 030 000 zł
Riverview - prestiżowa inwestycja,"Gdańsk Długie Ogrody, Angielska Grobla",33.3,1,3,2019,495 000 zł
Nowoczesna przestrzeń w samym sercu Gdańska!,"Gdańsk Śródmieście, Panieńska",31.08,1,parter,2018,519 000 zł
"Piękne mieszkanie na sprzedaż- Gdańsk, Letnica","Gdańsk Letnica, Sucha",36.13,2,2,0,435 000 zł
"Apartament w sercu Starówki, 2 pokoje","Gdańsk Stare Przedmieście, Toruńska",58.3,2,5,0,780 000 zł
2 pokoje z balkonem i oddzielną kuchnią,"Gdańsk Przymorze, Kołobrzeska",43,2,4,1975,399 000 zł
"Świetna lokalizacja, no i ta cena","Gdańsk Wrzeszcz, Stanisława Wyspiańskiego",96,3,3,1930,740 000 zł
Gdańsk Żabianka-3-pok ul.Orłowska,"Gdańsk Żabianka, Orłowska",48,3,1,1975,459 000 zł
Os. aviator/ 4 pokoje/ hala garażowa/ od zaraz,"Gdańsk Zaspa, Jana Pawła Ii",83.34,4,6,2015,1 100 000 zł
"Kawalerka z potencjałem na 2 pok., PRZYMORZE","Gdańsk Przymorze, Obrońców Wybrzeża",30,1,1,1970,300 000 zł
Mieszkanie - Gdańsk Oliwa,"Gdańsk Oliwa, Opacka",66,3,1,0,1 399 000 zł
Niepowtarzalna oferta 2 kawalerki w cenie mieszkania!,Gdańsk Wrzeszcz,36,1,parter,1920,595 000 zł
NOWA CENA ! Słoneczne dwustronne mieszkanie we Wrzeszczu !!,"Gdańsk Wrzeszcz, Partyzantów 101",62.84,3,2,1965,535 000 zł
3 oddzielne pokoje/ jasień/ blisko tramwaju,"Gdańsk Szadółki, Jabłoniowa",62.6,3,4,2012,499 000 zł
Morenowe Wzgórze 2-pokojowe mieszkanie z balkonem,"Gdańsk Morena, Morenowe Wzgórze",47,2,2,2009,449 990 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Toruńska",61,2,6,2016,850 000 zł
Klimatyczne 3 pokoje idealne dla rodziny 2010 rok,"Gdańsk Morena, Myśliwskie Wzgórze",63,3,parter,2010,589 000 zł
2 niezależne pok. na Przymorzu,"Gdańsk Przymorze, Chłopska",45,2,3,1972,390 000 zł
Mieszkanie dwupokojowe w centrum Wrzeszcza,"Gdańsk Wrzeszcz, Pl. Józefa Wybickiego",51.5,2,2,1960,519 000 zł
"Przytulne, jasne, 2-pok. na Żabiance","Gdańsk Żabianka, Jakuba Wejhera",41.07,2,4,0,425 000 zł
3 pokojowe mieszkanie - Przymorze,"Gdańsk Przymorze, Piastowska",58,3,parter,1956,495 000 zł
Mieszkanie Gdańsk Chełm Reformacka 63 m2,"Gdańsk Chełm, Reformacka",63,3,3,0,529 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Długie Ogrody, Św. Barbary",41.5,2,parter,2019,649 000 zł
Dwa niezależne pokoje w Centrum Wrzeszcza,"Gdańsk Wrzeszcz, Grunwaldzka",51.47,2,4,1980,455 000 zł
Przestronne 92 m2 mieszkanie z 70-metrowym tarasem,"Gdańsk Karczemki, Irysowa",92.3,4,1,2000,640 000 zł
Sprzedam lub wynajmę mieszkanie,"Gdańsk Oliwa, Wita Stwosza",33.8,2,3,1969,355 000 zł
